,전주 풍패지관,풍남문,전주경기전,전주 한옥마을,오목대,자만벽화마을,한벽당,전주향교,전주덕진공원,덕진체련공원,중상보도시근린공원,전북투어패스,전주곤충캠퍼스,루이엘모자박물관,전주전통술박물관,전주난장,세병공원,전주동물원,전북대학교 박물관,가련산공원,전주드림랜드,전주 일몽
붐비지 않아요,0.209302326,0.064516129,0.097198399,0.010071942,0.2,0.173913043,0.133333333,0.176470588,0.040983607,0.016393443,0.12,0.012746973,0,0,0,0,0,0,0,0,0,0
사진이 잘 나와요,0.162790698,0.290322581,0.259576901,0.132374101,0.186666667,0.043478261,0.266666667,0.294117647,0.147540984,0.049180328,0.066666667,0.066921606,0.039370079,0.156862745,0.031476998,0.097144518,0.064516129,0.001812984,0.021978022,0.107142857,0.056992803,0
볼거리가 많아요,0.11627907,0.112903226,0.119496855,0.179856115,0.053333333,0.260869565,0.1,0.058823529,0.053278689,0.049180328,0.106666667,0.15806246,0,0,0,0,0.096774194,0.179903772,0,0.107142857,0.209492317,0
주차하기 편해요,0.093023256,0.048387097,0.006289308,0.020143885,0,0,0.033333333,0,0.049180328,0.163934426,0.133333333,0.019757808,0.031496063,0.019607843,0.033898305,0.006466613,0.032258065,0.14022732,0.313186813,0.035714286,0.112234974,0.000428213
가격이 합리적이에요,0.093023256,0,0.071469411,0.007194245,0,0.043478261,0.166666667,0,0,0.049180328,0.013333333,0.187380497,0.047244094,0.098039216,0.12590799,0.093366272,0.032258065,0.169723171,0.043956044,0.214285714,0.185372496,0.014008687
설명이 잘 되어있어요,0.069767442,0.016129032,0.026872499,0,0,0,0,0.029411765,0,0,0,0,0.165354331,0.117647059,0.171912833,0.022015549,0,0,0.098901099,0,0,0
관리가 잘 되어있어요,0.069767442,0.048387097,0.08976558,0.079136691,0.08,0.02173913,0.1,0.117647059,0.110655738,0.131147541,0.146666667,0.068196303,0,0,0,0,0.032258065,0,0,0.071428571,0,0
아이와 가기 좋아요,0.069767442,0.048387097,0.054888508,0.023021583,0.026666667,0.086956522,0.033333333,0.029411765,0.012295082,0,0,0.094327597,0.125984252,0.058823529,0.016949153,0.077962653,0.096774194,0.011505474,0.005494505,0,0.185761525,0
근처에 갈 곳이 많아요,0.046511628,0.112903226,0.02915952,0.018705036,0,0,0,0.029411765,0.008196721,0,0,0.079668579,0,0,0,0,0,0,0,0,0,0
야경이 멋져요,0.023255814,0.129032258,0.001143511,0,0.08,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
체험 프로그램이 다양해요,0.023255814,0.016129032,0.01943968,0.017266187,0.013333333,0.043478261,0.066666667,0.029411765,0,0.016393443,0,0.116634799,0.102362205,0,0.111380145,0.106008864,0,0.013388188,0.043956044,0,0.028204629,0
경관이 독특해요,0.023255814,0.016129032,0.004002287,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유익해요,0,0,0,0.001438849,0,0.02173913,0,0,0,0,0,0.005736138,0.322834646,0.196078431,0.232445521,0.097217176,0,0.000906492,0.263736264,0,0.000972573,0
전시 구성이 알차요,0,0,0,0,0,0,0,0,0,0,0,0,0.102362205,0.137254902,0.121065375,0.19661411,0,0,0.071428571,0,0,0
전시 테마가 재밌어요,0,0,0,0,0,0,0,0,0,0,0,0,0.039370079,0.176470588,0.121065375,0.211218484,0,0,0.038461538,0,0,0
공간이 넓어요,0,0,0,0,0,0,0,0,0,0,0,0,0.023622047,0.019607843,0.02905569,0.0694616,0,0,0.093406593,0,0,0
뷰가 좋아요,0,0.048387097,0.058319039,0.15971223,0.16,0.065217391,0.033333333,0.117647059,0.225409836,0.245901639,0.106666667,0.016571064,0,0,0,0.000653927,0.129032258,0.000836762,0,0.285714286,0,0
산책로가 잘 되어있어요,0,0.032258065,0.110348771,0.084892086,0.186666667,0,0,0.058823529,0.225409836,0.147540984,0.133333333,0.011472275,0,0,0,0,0.193548387,0.009413569,0,0.142857143,0,0
대중교통이 편해요,0,0.016129032,0.002287021,0.002877698,0,0,0,0,0.004098361,0,0,0,0,0,0,0,0.032258065,0.000348651,0,0,0,0
방문객이 많아요,0,0,0.032018296,0.102158273,0,0,0,0,0.028688525,0.032786885,0.026666667,0.007648184,0,0,0,0,0,0,0,0,0,0
규모가 커요,0,0,0.012006861,0.008633094,0,0,0,0,0.004098361,0,0,0.001274697,0,0,0,0,0,0.145945192,0,0,0.001945147,0
화장실이 깨끗해요,0,0,0.003430532,0.005755396,0,0.02173913,0.033333333,0,0,0,0,0.000637349,0,0,0.002421308,0.001380513,0,0.001394603,0,0,0,0
편의시설이 잘 되어있어요,0,0,0.001715266,0.030215827,0,0,0,0,0.016393443,0.098360656,0.093333333,0.040790312,0,0,0,0,0,0.040234293,0,0.035714286,0,0
반려동물과 가기 좋아요,0,0,0.000571755,0.002877698,0.013333333,0,0,0,0.004098361,0,0,0,0,0,0,0.000581269,0.096774194,0.000278921,0,0,0,0
컨셉이 독특해요,0,0,0,0.002877698,0,0,0,0,0,0,0,0,0,0.019607843,0.002421308,0.01990845,0,6.97E-05,0.005494505,0,0.000194515,0
먹거리가 풍부해요,0,0,0,0.10647482,0,0,0,0,0,0,0.053333333,0.036328872,0,0,0,0,0,0.008437347,0,0,0.033067497,0
자연 경관이 좋아요,0,0,0,0.002877698,0,0.173913043,0,0,0.053278689,0,0,0.001912046,0,0,0,0,0,0,0,0,0,0
친절해요,0,0,0,0.001438849,0,0.043478261,0,0,0,0,0,0.072657744,0,0,0,0,0,0.00020919,0,0,0.001361603,0.13849636
초보자에게도 적합해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183642259
시설이 깔끔해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110522279,0,0,0.001945147,0.153239126
원데이 클래스가 알차요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090047103
수업 시간이 충분해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087600171
설명이 자세해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076344283
선물하기 좋아요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070961033
프라이빗해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057808772
디자인이 멋져요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049183336
맞춤 수업을 잘해줘요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037499235
품질이 좋아요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030403132
단체로 가기 좋아요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010338288
피크닉하기 좋아요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161290323,0.005508681,0,0,0,0
조용히 쉬기 좋아요,0,0,0,0,0,0,0,0,0.016393443,0,0,0.000637349,0,0,0,0,0.032258065,0,0,0,0,0
동물 관리가 잘 되어있어요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132557004,0,0,0.003695779,0
놀이기구가 다양해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025660693,0,0,0.175841276,0
대기시간이 짧아요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001115682,0,0,0.001945147,0
안전하게 관리해요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000778059,0
셔틀버스가 잘 되어있어요,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194515,0
트렌디해요,0,0,0,0,0,0,0,0,0,0,0,0.000637349,0,0,0,0,0,0,0,0,0,0
Component0,0.239348922,0.249739102,0.27876421,0.230193289,0.270568608,0.209136387,0.278084025,0.282723327,0.25747112,0.232484466,0.226208136,0.194741937,0.125215615,0.159957001,0.122006861,0.131077176,0.189232962,0.1427624,0.130617214,0.282631984,0.198654989,0.008525133
Component1,0.016855266,-0.059803227,-0.076834236,-0.124936274,-0.177209801,-0.042858224,-0.011016294,-0.11713023,-0.183078398,-0.119050899,-0.117520288,0.053106134,0.464160521,0.373196085,0.438874969,0.329845009,-0.099801864,0.062307161,0.414526913,-0.113122225,0.092523041,0.0078888
Component2,0.16127961,-0.006430603,-0.008011836,-0.009492828,-0.236181228,0.31085329,0.135329408,-0.157581141,-0.297938376,-0.201713086,-0.072477564,0.330483395,-0.143001913,-0.151635105,-0.108133036,-0.075207125,-0.087026449,0.428564289,-0.11872315,-0.057619135,0.504994475,0.099202665
위경도,"35.81844233303248, 127.14536254132553","35.81349317968503, 127.14759270250747","35.81534610817482, 127.14979470079824","35.81753576414229, 127.15204264784524","35.8143839407545, 127.1546004283056","35.814212246490925, 127.15721165780226","35.81187689743302, 127.16086283153231","35.81261404690533, 127.15722814451907","35.84756816701689, 127.12189479993413","35.853101410071645, 127.14002694872647","35.83049407660942, 127.17113707139737","35.820350620801136, 127.1087837317092","35.81440592927607, 127.1455103048161","35.81850338008661, 127.14842075581363","35.81692379172037, 127.1535123678698","35.818514545456615, 127.152567942601","35.87666239907047, 127.1307286828964","35.855127262869566, 127.14434436201438","35.84590897035302, 127.12753036582332","35.84445937563751, 127.1191757405669","35.85763267843176, 127.14404222563029","35.81843944441437, 127.14536172631179"
